date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:22	48962/48962	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:55:16%20GMT	https://www.ecured.cu/EcuRed:Enciclopedia_cubana	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_Enciclopedia_cubana.html	(from )
20:59:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Sep%202022%2001:57:06%20GMT	https://www.ecured.cu/robots.txt		(from )
20:59:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Sep%202022%2001:57:07%20GMT	https://www.ecured.cu/skins.timeless.js	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/skins.timeless.js	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:24	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Sep%202022%2001:57:07%20GMT	https://www.ecured.cu/Skins.timeless.js	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Skins.timeless.js	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:25	112756/112756	---MCZ	200	added ('OK')	text/css	etag:W/%221ehf7m2%22	https://www.ecured.cu/load.php?debug=false&lang=es&modules=ext.visualEditor.desktopArticleTarget.noscript%7Cmediawiki.legacy.commonPrint%2Cshared%7Cmediawiki.page.gallery.styles%7Cmediawiki.sectionAnchor%7Cmediawiki.skinning.content.externallinks%7Cskins.timeless%7Cskins.timeless.misc&only=styles&skin=timeless	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/load2db5.css	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:26	33197/33197	---M-Z	200	added ('OK')	text/javascript	etag:W/%221onmvg9%22	https://www.ecured.cu/load.php?debug=false&lang=es&modules=startup&only=scripts&skin=timeless	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/loadcad8.php	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:27	11228/11228	---MCZ	200	added ('OK')	text/css	etag:W/%221el4p6e%22	https://www.ecured.cu/load.php?debug=false&lang=es&modules=site.styles&only=styles&skin=timeless	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/load92d7.css	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:27	2294/2294	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225b80393b-8f6%22	https://www.ecured.cu/favicon.ico	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/favicon.ico	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:28	859/859	---MC-	200	added ('OK')	application/opensearchdescription+xml	date:Mon,%2012%20Sep%202022%2001:57:11%20GMT	https://www.ecured.cu/opensearch_desc.php	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/opensearch_desc.php	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
20:59:28	610/610	---M--	200	added ('OK')	application/rsd+xml	date:Mon,%2012%20Sep%202022%2001:55:23%20GMT	https://www.ecured.cu/api.php?action=rsd	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/api-result251f.xml	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
